# psi logA_t_0 f_t_0 tau_t_0 phi_t_0 logL logPrior
1.394783065094937546e+00 -2.053099310706351943e+01 2.539198511506816658e+02 5.082932938030306283e-03 3.672295160295034666e+00 3.869663806603148987e+04 0.000000000000000000e+00
1.951655294156148024e+00 -2.068204907604452458e+01 2.422816688541984433e+02 2.746011143553656400e-03 4.472704937758877897e+00 3.869666309799427836e+04 0.000000000000000000e+00
2.380873721104816987e+00 -2.073804774547473073e+01 2.165493252834592681e+02 3.416893964364784049e-03 8.798586119344735390e-02 3.869666323163359630e+04 0.000000000000000000e+00
1.855737635217989068e+00 -2.085385736556243685e+01 2.416221989039479467e+02 3.338002670964967250e-03 4.882546602192711305e+00 3.869669139222288504e+04 0.000000000000000000e+00
2.026630576037296905e+00 -2.108962722530283784e+01 2.427565929897598949e+02 1.080881336852258442e-02 5.309777963777227328e+00 3.869675489428843866e+04 0.000000000000000000e+00
1.059155315350426951e+00 -2.116161276911569189e+01 2.547993402152590363e+02 1.388834246681848461e-02 2.810998199105757323e+00 3.869679744999366085e+04 0.000000000000000000e+00
3.064628013281231134e+00 -2.099258644577163224e+01 2.457154548417504998e+02 1.460264083946542259e-02 4.622040001571738888e-01 3.869681491668843228e+04 0.000000000000000000e+00
2.533857327031412865e+00 -2.107370375706556587e+01 2.438483105155734165e+02 1.579628712395898110e-02 6.189722189729665480e+00 3.869697296432334406e+04 0.000000000000000000e+00
8.362637270603651141e-01 -2.071209789472091956e+01 2.114046375031034870e+02 4.217400330181559666e-03 3.289264689031144329e+00 3.869700743898488872e+04 0.000000000000000000e+00
1.264491086799144570e+00 -2.062738558135894706e+01 2.360348926565642103e+02 5.373775372038211776e-03 3.316839565247182708e+00 3.869707348684049794e+04 0.000000000000000000e+00
3.722203304224721565e-01 -2.081362194080547567e+01 2.790962866694454192e+02 4.664401197474729588e-03 1.167450448231749593e+00 3.869711281497548771e+04 0.000000000000000000e+00
1.974999088124836044e+00 -2.082712670763164553e+01 2.397243243788630309e+02 3.294194166708353140e-03 5.172818895223548097e+00 3.869712518881186406e+04 0.000000000000000000e+00
2.304356259998282253e-01 -2.087286972469459556e+01 2.240658007151612310e+02 6.818139741828961077e-03 1.942615119857402206e+00 3.869713052228558081e+04 0.000000000000000000e+00
8.196641160722147879e-01 -2.086547227392076564e+01 2.208264159850041608e+02 5.265131956038220096e-03 2.825535020877347314e+00 3.869723179822180828e+04 0.000000000000000000e+00
1.319481868692227611e+00 -2.058062581499541821e+01 2.183221287551805005e+02 2.644470666230404506e-03 3.609149864709700672e+00 3.869723854759628011e+04 0.000000000000000000e+00
1.781971135300214115e+00 -2.092713220065716939e+01 2.252958698110908244e+02 6.709689416751894731e-03 4.746801787630131386e+00 3.869726121287587739e+04 0.000000000000000000e+00
2.120472215115790426e+00 -2.092195883754628127e+01 2.296557545573790833e+02 8.659734480781645927e-03 5.645759128675787331e+00 3.869726660113495018e+04 0.000000000000000000e+00
1.951228298019020146e-01 -2.101397896495066675e+01 2.316464072403057344e+02 7.178943760232445702e-03 1.479698559505506106e+00 3.869729851770505775e+04 0.000000000000000000e+00
9.019704975513151424e-02 -2.065448364408792870e+01 2.857521655381813162e+02 2.964096442601246717e-03 3.713371506827043977e-01 3.869733540856899344e+04 0.000000000000000000e+00
